cds	rtype	sname	dname	cname	Enroll912	NumTstTakr	AvgScrEng	AvgScrRead	AvgScrMath	AvgScrSci	NumGE21	PctGE21
00000000000000	X				1952314	97607	21	22	23	21	55211	56.56
01000000000000	C			Alameda	66686	3985	23	23	24	23	2590	64.99
01100170000000	D		Alameda County Office of Educa	Alameda	1308	46	17	17	18	18	11	23.91
01100170109835	S	FAME Public Charter	Alameda County Office of Educa	Alameda	289	3	*	*	*	*	*	*
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Educa	Alameda	343	18	16	15	17	16	1	5.56
01100170118489	S	Aspire California College Preparatory Ac	Alameda County Office of Educa	Alameda	230	25	18	17	19	18	7	28.00
01316170000000	D		California School for the Deaf	Alameda	220	23	14	15	15	14	1	4.35
01316170131763	S	California School for the Deaf-Fremont	California School for the Deaf	Alameda	220	23	14	15	15	14	1	4.35
01611190000000	D		Alameda Unified	Alameda	3555	194	24	24	25	24	153	78.87
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda	169	20	26	26	27	25	17	85.00
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	106	10	*	*	*	*	*	*
01611190130229	S	Alameda High	Alameda Unified	Alameda	1758	114	25	24	25	24	94	82.46
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	158	7	*	*	*	*	*	*
01611190130625	S	Bay Area School of Enterprise	Alameda Unified	Alameda	139	0	NA	NA	NA	NA	NA	NA
01611190132878	S	Encinal High	Alameda Unified	Alameda	1038	43	22	23	24	22	30	69.77
01611270000000	D		Albany City Unified	Alameda	1199	102	27	27	27	26	91	89.22
01611270130450	S	Albany High	Albany City Unified	Alameda	1181	102	27	27	27	26	91	89.22
01611430000000	D		Berkeley Unified	Alameda	3556	214	23	24	23	22	139	64.95
01611430122697	S	REALM Charter High	Berkeley Unified	Alameda	287	0	NA	NA	NA	NA	NA	NA
01611430131177	S	Berkeley High	Berkeley Unified	Alameda	3145	214	23	24	23	22	139	64.95
01611500000000	D		Castro Valley Unified	Alameda	3136	167	25	25	26	24	136	81.44
01611500132225	S	Castro Valley High	Castro Valley Unified	Alameda	3000	166	25	25	26	24	136	81.93
01611500135533	S	Redwood Continuation High	Castro Valley Unified	Alameda	124	1	*	*	*	*	*	*
01611680000000	D		Emery Unified	Alameda	218	17	17	18	22	19	8	47.06
01611680132746	S	Emery Secondary	Emery Unified	Alameda	218	17	17	18	22	19	8	47.06
01611760000000	D		Fremont Unified	Alameda	9998	618	28	27	28	27	548	88.67
01611760130062	S	American High	Fremont Unified	Alameda	1960	88	28	27	28	26	80	90.91
01611760130138	S	Robertson High (Continuation)	Fremont Unified	Alameda	216	1	*	*	*	*	*	*
01611760130435	S	Vista Alternative	Fremont Unified	Alameda	63	1	*	*	*	*	*	*
01611760130534	S	Circle of Independent Learning	Fremont Unified	Alameda	121	4	*	*	*	*	*	*
01611760134270	S	Irvington High	Fremont Unified	Alameda	2179	162	27	27	28	27	144	88.89
01611760134452	S	John F. Kennedy High	Fremont Unified	Alameda	1410	66	23	23	23	22	43	65.15
01611760135244	S	Mission San Jose High	Fremont Unified	Alameda	2167	219	30	30	31	30	213	97.26
01611760138693	S	Washington High	Fremont Unified	Alameda	1835	77	24	25	25	24	62	80.52
01611920000000	D		Hayward Unified	Alameda	6132	294	18	19	20	19	95	32.31
01611920108670	S	Leadership Public Schools - Hayward	Hayward Unified	Alameda	471	90	19	19	21	19	29	32.22
01611920113902	S	Impact Academy of Arts & Technology	Hayward Unified	Alameda	466	19	20	20	20	19	8	42.11
01611920127944	S	Silver Oak High Public Montessori Charte	Hayward Unified	Alameda	60	0	NA	NA	NA	NA	NA	NA
01611920133629	S	Hayward High	Hayward Unified	Alameda	1637	88	17	18	18	18	19	21.59
01611920135319	S	Mt. Eden High	Hayward Unified	Alameda	1865	52	20	21	21	21	28	53.85
01611920138339	S	Tennyson High	Hayward Unified	Alameda	1339	45	17	18	19	18	11	24.44
01612000000000	D		Livermore Valley Joint Unified	Alameda	3992	182	26	26	26	25	158	86.81
01612000130393	S	Vineyard Alternative	Livermore Valley Joint Unified	Alameda	112	0	NA	NA	NA	NA	NA	NA
01612000133397	S	Granada High	Livermore Valley Joint Unified	Alameda	1968	108	26	26	26	26	99	91.67
01612000134536	S	Livermore High	Livermore Valley Joint Unified	Alameda	1750	74	25	25	25	24	59	79.73
01612340000000	D		Newark Unified	Alameda	1975	54	22	23	23	22	34	62.96
01612340130054	S	Newark Memorial High	Newark Unified	Alameda	1848	54	22	23	23	22	34	62.96
01612340130484	S	Crossroads High (Alternative)	Newark Unified	Alameda	35	0	NA	NA	NA	NA	NA	NA
01612420000000	D		New Haven Unified	Alameda	4186	242	21	22	24	22	150	61.98
01612420126763	S	Decoto School for Independent Study	New Haven Unified	Alameda	131	0	NA	NA	NA	NA	NA	NA
01612420134668	S	James Logan High	New Haven Unified	Alameda	3875	242	21	22	24	22	150	61.98
01612590000000	D		Oakland Unified	Alameda	12096	739	18	19	20	19	255	34.51
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	292	34	13	16	18	16	4	11.76
01612590100701	S	MetWest High	Oakland Unified	Alameda	141	4	*	*	*	*	*	*
01612590106906	S	Bay Area Technology	Oakland Unified	Alameda	108	4	*	*	*	*	*	*
01612590108944	S	Lighthouse Community Charter High	Oakland Unified	Alameda	236	0	NA	NA	NA	NA	NA	NA
01612590110189	S	McClymonds High	Oakland Unified	Alameda	275	23	13	15	14	14	1	4.35
01612590111856	S	American Indian Public High	Oakland Unified	Alameda	149	26	23	24	26	22	17	65.38
01612590112797	S	Coliseum College Prep Academy	Oakland Unified	Alameda	247	21	12	14	16	14	1	4.76
01612590114868	S	Oakland Charter High	Oakland Unified	Alameda	266	27	21	20	25	20	14	51.85
01612590115238	S	ARISE High	Oakland Unified	Alameda	246	33	12	14	15	15	0	0.00
01612590115386	S	Civicorps Corpsmember Academy	Oakland Unified	Alameda	73	0	NA	NA	NA	NA	NA	NA
01612590115667	S	Oakland International High	Oakland Unified	Alameda	353	2	*	*	*	*	*	*
01612590118224	S	Aspire Golden State College Preparatory	Oakland Unified	Alameda	248	6	*	*	*	*	*	*
01612590119859	S	Gateway to College at Laney College	Oakland Unified	Alameda	96	0	NA	NA	NA	NA	NA	NA
01612590125161	S	Castlemont High	Oakland Unified	Alameda	564	30	14	16	17	17	3	10.00
01612590125716	S	Fremont High	Oakland Unified	Alameda	727	14	13	16	18	16	3	21.43
01612590126748	S	LPS Oakland R & D Campus	Oakland Unified	Alameda	303	10	*	*	*	*	*	*
01612590130146	S	Rudsdale Continuation	Oakland Unified	Alameda	149	1	*	*	*	*	*	*
01612590130179	S	Street Academy (Alternative)	Oakland Unified	Alameda	88	1	*	*	*	*	*	*
01612590130575	S	LIFE Academy	Oakland Unified	Alameda	284	32	16	17	19	17	7	21.88
01612590130617	S	Oakland Military Institute, College Prep	Oakland Unified	Alameda	375	40	17	20	19	18	12	30.00
01612590130633	S	Lighthouse Community Charter	Oakland Unified	Alameda	4	1	*	*	*	*	*	*
01612590130666	S	Aspire Lionel Wilson College Preparatory	Oakland Unified	Alameda	307	59	15	16	18	18	15	25.42
01612590135905	S	Oakland High	Oakland Unified	Alameda	1552	105	17	17	20	19	31	29.52
01612590136051	S	Oakland Technical High	Oakland Unified	Alameda	2092	171	22	23	23	22	103	60.23
01612590137943	S	Skyline High	Oakland Unified	Alameda	1781	86	19	20	21	19	36	41.86
01612593030772	S	Oakland School for the Arts	Oakland Unified	Alameda	383	17	21	21	18	18	6	35.29
01612596066450	S	Madison Park Academy 6-12	Oakland Unified	Alameda	83	0	NA	NA	NA	NA	NA	NA
01612596114011	S	Independent Study, Sojourner Truth	Oakland Unified	Alameda	198	0	NA	NA	NA	NA	NA	NA
01612750000000	D		Piedmont City Unified	Alameda	844	87	29	28	27	27	80	91.95
01612750130286	S	Millennium High Alternative	Piedmont City Unified	Alameda	69	5	*	*	*	*	*	*
01612750136515	S	Piedmont High	Piedmont City Unified	Alameda	770	82	29	28	27	27	77	93.90
01612910000000	D		San Leandro Unified	Alameda	2758	174	21	20	21	21	82	47.13
01612910137588	S	San Leandro High	San Leandro Unified	Alameda	2630	174	21	20	21	21	82	47.13
01613090000000	D		San Lorenzo Unified	Alameda	4155	206	19	20	21	20	88	42.72
01613090111799	S	East Bay Arts High	San Lorenzo Unified	Alameda	275	1	*	*	*	*	*	*
01613090114421	S	KIPP King Collegiate High	San Lorenzo Unified	Alameda	498	78	21	21	21	21	38	48.72
01613090130849	S	Arroyo High	San Lorenzo Unified	Alameda	1744	38	22	23	24	22	24	63.16
01613090137745	S	Royal Sunset (Continuation)	San Lorenzo Unified	Alameda	169	1	*	*	*	*	*	*
01613090137810	S	San Lorenzo High	San Lorenzo Unified	Alameda	1457	88	17	19	20	18	26	29.55
01750930000000	D		Dublin Unified	Alameda	1973	160	25	26	26	25	136	85.00
01750930132704	S	Dublin High	Dublin Unified	Alameda	1889	160	25	26	26	25	136	85.00
01751010000000	D		Pleasanton Unified	Alameda	4945	447	27	27	28	27	411	91.95
01751010130096	S	Foothill High	Pleasanton Unified	Alameda	2158	176	27	27	28	26	162	92.05
