cds	rtype	sname	dname	cname	enroll912	NumTstTakr	NumScr1	NumScr2	NumScr3	NumScr4	NumScr5
00000000000000	X				1952314	313220	113248	132175	144523	114769	82332
01000000000000	C			Alameda	66686	13056	3519	4318	5680	5794	5998
01100170000000	D		Alameda County Office of Educa	Alameda	1308	92	87	3	2	0	0
01100170109835	S	FAME Public Charter	Alameda County Office of Educa	Alameda	289	2	*	*	*	*	*
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Educa	Alameda	343	90	87	3	0	0	0
01100170118489	S	Aspire California College Preparatory Ac	Alameda County Office of Educa	Alameda	230	0	NA	NA	NA	NA	NA
01316170000000	D		California School for the Deaf	Alameda	220	2	*	*	*	*	*
01316170131763	S	California School for the Deaf-Fremont	California School for the Deaf	Alameda	220	2	*	*	*	*	*
01611190000000	D		Alameda Unified	Alameda	3555	859	231	409	498	360	251
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda	169	0	NA	NA	NA	NA	NA
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	106	0	NA	NA	NA	NA	NA
01611190130229	S	Alameda High	Alameda Unified	Alameda	1758	627	161	278	398	287	210
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	158	0	NA	NA	NA	NA	NA
01611190130625	S	Bay Area School of Enterprise	Alameda Unified	Alameda	139	0	NA	NA	NA	NA	NA
01611190132878	S	Encinal High	Alameda Unified	Alameda	1038	231	69	131	100	73	41
01611190134304	S	Island High (Continuation)	Alameda Unified	Alameda	172	1	*	*	*	*	*
01611270000000	D		Albany City Unified	Alameda	1199	298	39	95	127	170	181
01611270130450	S	Albany High	Albany City Unified	Alameda	1181	298	39	95	127	170	181
01611430000000	D		Berkeley Unified	Alameda	3556	760	143	281	293	363	280
01611430122697	S	REALM Charter High	Berkeley Unified	Alameda	287	0	NA	NA	NA	NA	NA
01611430131177	S	Berkeley High	Berkeley Unified	Alameda	3145	760	143	281	293	363	280
01611500000000	D		Castro Valley Unified	Alameda	3136	458	39	124	214	247	256
01611500132225	S	Castro Valley High	Castro Valley Unified	Alameda	3000	458	39	124	214	247	256
01611680000000	D		Emery Unified	Alameda	218	21	13	4	4	6	3
01611680132746	S	Emery Secondary	Emery Unified	Alameda	218	21	13	4	4	6	3
01611760000000	D		Fremont Unified	Alameda	9998	2716	312	515	1164	1549	2203
01611760130062	S	American High	Fremont Unified	Alameda	1960	594	91	134	313	349	328
01611760130138	S	Robertson High (Continuation)	Fremont Unified	Alameda	216	1	*	*	*	*	*
01611760130435	S	Vista Alternative	Fremont Unified	Alameda	63	0	NA	NA	NA	NA	NA
01611760130534	S	Circle of Independent Learning	Fremont Unified	Alameda	121	0	NA	NA	NA	NA	NA
01611760134270	S	Irvington High	Fremont Unified	Alameda	2179	671	27	81	255	333	561
01611760134452	S	John F. Kennedy High	Fremont Unified	Alameda	1410	156	42	83	96	49	27
01611760135244	S	Mission San Jose High	Fremont Unified	Alameda	2167	962	80	112	324	656	1168
01611760138693	S	Washington High	Fremont Unified	Alameda	1835	332	72	105	175	162	119
01611920000000	D		Hayward Unified	Alameda	6132	996	672	454	300	164	72
01611920108670	S	Leadership Public Schools - Hayward	Hayward Unified	Alameda	471	227	156	99	54	33	13
01611920113902	S	Impact Academy of Arts & Technology	Hayward Unified	Alameda	466	185	179	35	31	13	3
01611920127944	S	Silver Oak High Public Montessori Charte	Hayward Unified	Alameda	60	0	NA	NA	NA	NA	NA
01611920133629	S	Hayward High	Hayward Unified	Alameda	1637	277	185	162	90	54	34
01611920135319	S	Mt. Eden High	Hayward Unified	Alameda	1865	138	49	60	63	41	16
01611920138339	S	Tennyson High	Hayward Unified	Alameda	1339	169	103	98	62	23	6
01612000000000	D		Livermore Valley Joint Unified	Alameda	3992	650	76	187	376	295	177
01612000130393	S	Vineyard Alternative	Livermore Valley Joint Unified	Alameda	112	1	*	*	*	*	*
01612000133397	S	Granada High	Livermore Valley Joint Unified	Alameda	1968	394	38	100	220	197	115
01612000134536	S	Livermore High	Livermore Valley Joint Unified	Alameda	1750	255	37	87	156	98	62
01612340000000	D		Newark Unified	Alameda	1975	324	117	181	172	103	63
01612340130054	S	Newark Memorial High	Newark Unified	Alameda	1848	324	117	181	172	103	63
01612340130484	S	Crossroads High (Alternative)	Newark Unified	Alameda	35	0	NA	NA	NA	NA	NA
01612420000000	D		New Haven Unified	Alameda	4186	701	195	366	422	255	176
01612420126763	S	Decoto School for Independent Study	New Haven Unified	Alameda	131	0	NA	NA	NA	NA	NA
01612420134668	S	James Logan High	New Haven Unified	Alameda	3875	701	195	366	422	255	176
01612590000000	D		Oakland Unified	Alameda	12096	1644	848	623	503	392	326
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	292	44	1	10	20	9	4
01612590100701	S	MetWest High	Oakland Unified	Alameda	141	0	NA	NA	NA	NA	NA
01612590106906	S	Bay Area Technology	Oakland Unified	Alameda	108	10	*	*	*	*	*
01612590108944	S	Lighthouse Community Charter High	Oakland Unified	Alameda	236	17	0	2	2	5	8
01612590110189	S	McClymonds High	Oakland Unified	Alameda	275	35	59	0	0	0	0
01612590111856	S	American Indian Public High	Oakland Unified	Alameda	149	144	120	69	49	20	15
01612590112797	S	Coliseum College Prep Academy	Oakland Unified	Alameda	247	36	20	2	6	13	2
01612590114868	S	Oakland Charter High	Oakland Unified	Alameda	266	77	28	23	21	16	17
01612590115238	S	ARISE High	Oakland Unified	Alameda	246	0	NA	NA	NA	NA	NA
01612590115386	S	Civicorps Corpsmember Academy	Oakland Unified	Alameda	73	0	NA	NA	NA	NA	NA
01612590115667	S	Oakland International High	Oakland Unified	Alameda	353	9	*	*	*	*	*
01612590118224	S	Aspire Golden State College Preparatory	Oakland Unified	Alameda	248	16	16	0	0	0	0
01612590119859	S	Gateway to College at Laney College	Oakland Unified	Alameda	96	0	NA	NA	NA	NA	NA
01612590125161	S	Castlemont High	Oakland Unified	Alameda	564	47	41	20	7	4	1
01612590125716	S	Fremont High	Oakland Unified	Alameda	727	84	41	46	26	13	5
01612590126748	S	LPS Oakland R & D Campus	Oakland Unified	Alameda	303	0	NA	NA	NA	NA	NA
01612590130179	S	Street Academy (Alternative)	Oakland Unified	Alameda	88	0	NA	NA	NA	NA	NA
01612590130575	S	LIFE Academy	Oakland Unified	Alameda	284	26	14	0	7	7	8
01612590130617	S	Oakland Military Institute, College Prep	Oakland Unified	Alameda	375	56	33	19	15	5	1
01612590130666	S	Aspire Lionel Wilson College Preparatory	Oakland Unified	Alameda	307	70	20	8	23	13	6
01612590135905	S	Oakland High	Oakland Unified	Alameda	1552	261	255	92	44	20	8
01612590136051	S	Oakland Technical High	Oakland Unified	Alameda	2092	389	81	117	149	179	191
01612590137943	S	Skyline High	Oakland Unified	Alameda	1781	333	207	213	103	54	33
01612593030772	S	Oakland School for the Arts	Oakland Unified	Alameda	383	72	5	16	34	37	27
01612596066450	S	Madison Park Academy 6-12	Oakland Unified	Alameda	83	0	NA	NA	NA	NA	NA
01612596114011	S	Independent Study, Sojourner Truth	Oakland Unified	Alameda	198	0	NA	NA	NA	NA	NA
01612750000000	D		Piedmont City Unified	Alameda	844	212	9	30	76	144	184
01612750136515	S	Piedmont High	Piedmont City Unified	Alameda	770	212	9	30	76	144	184
01612910000000	D		San Leandro Unified	Alameda	2758	466	265	225	193	108	57
01612910137588	S	San Leandro High	San Leandro Unified	Alameda	2630	466	265	225	193	108	57
01613090000000	D		San Lorenzo Unified	Alameda	4155	851	385	491	351	227	116
01613090111799	S	East Bay Arts High	San Lorenzo Unified	Alameda	275	0	NA	NA	NA	NA	NA
01613090114421	S	KIPP King Collegiate High	San Lorenzo Unified	Alameda	498	235	70	125	92	78	41
01613090130849	S	Arroyo High	San Lorenzo Unified	Alameda	1744	425	181	267	209	119	55
01613090137810	S	San Lorenzo High	San Lorenzo Unified	Alameda	1457	191	134	99	50	30	20
01750930000000	D		Dublin Unified	Alameda	1973	362	15	74	195	264	226
01750930132704	S	Dublin High	Dublin Unified	Alameda	1889	362	15	74	195	264	226
01751010000000	D		Pleasanton Unified	Alameda	4945	1585	61	242	770	1132	1410
01751010130096	S	Foothill High	Pleasanton Unified	Alameda	2158	700	43	150	396	482	501
01751010130583	S	Amador Valley High	Pleasanton Unified	Alameda	2634	884	18	91	372	650	909
01751016117592	S	Thomas S. Hart Middle	Pleasanton Unified	Alameda	0	1	*	*	*	*	*
01766530000000	D		SBE - Livermore Valley Charter	Alameda	440	59	12	13	19	15	17
01766530120931	S	Livermore Valley Charter Preparatory Hig	SBE - Livermore Valley Charter	Alameda	440	59	12	13	19	15	17
03000000000000	C			Amador	1376	202	53	122	100	61	11
03100330000000	D		Amador County Office of Educat	Amador	75	0	NA	NA	NA	NA	NA
03739810000000	D		Amador County Unified	Amador	1301	202	53	122	100	61	11
03739810330050	S	North Star Independent Study	Amador County Unified	Amador	65	0	NA	NA	NA	NA	NA
03739810330753	S	Amador High	Amador County Unified	Amador	646	139	41	89	71	45	8
03739810334755	S	Argonaut High	Amador County Unified	Amador	530	63	12	33	29	16	3
04000000000000	C			Butte	9833	965	206	386	496	324	169
04100410000000	D		Butte County Office of Educati	Butte	519	0	NA	NA	NA	NA	NA
04100410114991	S	CORE Butte Charter	Butte County Office of Educati	Butte	278	0	NA	NA	NA	NA	NA
04100410430090	S	Learning Community Charter	Butte County Office of Educati	Butte	189	0	NA	NA	NA	NA	NA
04614080000000	D		Biggs Unified	Butte	150	7	*	*	*	*	*
04614080430827	S	Biggs High	Biggs Unified	Butte	142	7	*	*	*	*	*
04614240000000	D		Chico Unified	Butte	4390	634	101	198	322	247	132
04614240120394	S	Inspire School of Arts and Sciences	Chico Unified	Butte	433	49	2	13	21	37	22
04614240430199	S	Oakdale	Chico Unified	Butte	75	0	NA	NA	NA	NA	NA
04614240431676	S	Chico High	Chico Unified	Butte	1762	376	84	140	182	128	56
04614240437558	S	Pleasant Valley High	Chico Unified	Butte	1865	209	15	45	119	82	54
04614320000000	D		Durham Unified	Butte	324	42	5	18	26	16	4
04614320433201	S	Durham High	Durham Unified	Butte	324	42	5	18	26	16	4
04614400000000	D		Feather Falls Union Elementary	Butte	30	0	NA	NA	NA	NA	NA
04614400121509	S	Ipakanni Early College Charter	Feather Falls Union Elementary	Butte	30	0	NA	NA	NA	NA	NA
04614570000000	D		Golden Feather Union Elementar	Butte	42	0	NA	NA	NA	NA	NA
04614570125252	S	Pivot Charter School North Valley	Golden Feather Union Elementar	Butte	42	0	NA	NA	NA	NA	NA
04615150000000	D		Oroville Union High	Butte	2361	135	72	108	63	16	7
04615150434803	S	Las Plumas High	Oroville Union High	Butte	1126	70	30	56	33	12	6
04615150435602	S	Oroville High	Oroville Union High	Butte	1092	65	42	52	30	4	1
04615310000000	D		Paradise Unified	Butte	1327	93	17	41	58	25	18
04615310121715	S	Paradise eLearning Academy	Paradise Unified	Butte	43	0	NA	NA	NA	NA	NA
04615310437350	S	Paradise Senior High	Paradise Unified	Butte	1088	93	17	41	58	25	18
04615316112585	S	Hometech Charter	Paradise Unified	Butte	74	0	NA	NA	NA	NA	NA
04755070000000	D		Gridley Unified	Butte	690	54	10	17	23	19	3
04755070433953	S	Gridley High	Gridley Unified	Butte	662	54	10	17	23	19	3
05000000000000	C			Calaveras	2068	177	39	69	84	55	12
05100580000000	D		Calaveras County Office of Edu	Calaveras	266	0	NA	NA	NA	NA	NA
05100580530154	S	Mountain Oaks	Calaveras County Office of Edu	Calaveras	209	0	NA	NA	NA	NA	NA
05615560000000	D		Bret Harte Union High	Calaveras	724	92	18	36	50	47	7
05615560530121	S	John Vierra High	Bret Harte Union High	Calaveras	22	0	NA	NA	NA	NA	NA
05615560532507	S	Bret Harte Union High	Bret Harte Union High	Calaveras	688	92	18	36	50	47	7
05615640000000	D		Calaveras Unified	Calaveras	1078	85	21	33	34	8	5
05615640530055	S	Calaveras Unified Alternative-Sierra Hil	Calaveras Unified	Calaveras	18	0	NA	NA	NA	NA	NA
05615640531509	S	Calaveras High	Calaveras Unified	Calaveras	1003	85	21	33	34	8	5
06000000000000	C			Colusa	1338	98	38	49	33	16	5
06615980000000	D		Colusa Unified	Colusa	426	16	5	12	13	3	2
06615980630046	S	Colusa Alternative Home	Colusa Unified	Colusa	49	0	NA	NA	NA	NA	NA
06615980631259	S	Colusa High	Colusa Unified	Colusa	347	16	5	12	13	3	2
06616060000000	D		Maxwell Unified	Colusa	107	2	*	*	*	*	*
06616060634758	S	Maxwell High	Maxwell Unified	Colusa	107	2	*	*	*	*	*
06616140000000	D		Pierce Joint Unified	Colusa	405	48	23	25	10	5	2
06616140635250	S	Pierce High	Pierce Joint Unified	Colusa	391	48	23	25	10	5	2
06616220000000	D		Williams Unified	Colusa	393	32	10	11	10	8	0
06616220637504	S	Williams Junior/Senior High	Williams Unified	Colusa	364	32	10	11	10	8	0
07000000000000	C			Contra Costa	53473	9424	2425	3061	3824	3936	3699
07100740000000	D		Contra Costa County Office of	Contra Costa	2766	347	286	142	126	63	30
07100740114470	S	Making Waves Academy	Contra Costa County Office of	Contra Costa	260	0	NA	NA	NA	NA	NA
07100740731380	S	Clayton Valley Charter High	Contra Costa County Office of	Contra Costa	1991	347	286	142	126	63	30
07616300000000	D		Acalanes Union High	Contra Costa	5319	1763	54	232	663	1058	1283
07616300107524	S	Acalanes Center for Independent Study	Acalanes Union High	Contra Costa	39	0	NA	NA	NA	NA	NA
07616300730283	S	Acalanes High	Acalanes Union High	Contra Costa	1319	427	14	53	140	232	285
07616300731125	S	Campolindo High	Acalanes Union High	Contra Costa	1260	471	14	72	203	291	367
07616300733725	S	Las Lomas High	Acalanes Union High	Contra Costa	1548	437	15	64	183	254	232
07616300734244	S	Miramonte High	Acalanes Union High	Contra Costa	1125	428	11	43	137	281	399
07616480000000	D		Antioch Unified	Contra Costa	5890	668	325	395	231	128	71
07616480117218	S	Dozier-Libbey Medical High	Antioch Unified	Contra Costa	648	145	47	83	58	14	4
07616480730259	S	Prospects High (Alternative)	Antioch Unified	Contra Costa	368	0	NA	NA	NA	NA	NA
07616480730465	S	Deer Valley High	Antioch Unified	Contra Costa	2622	362	181	201	116	88	60
07616480730861	S	Antioch High	Antioch Unified	Contra Costa	1842	161	97	111	57	26	7
07616970000000	D		John Swett Unified	Contra Costa	551	64	42	26	12	11	6
07616970737023	S	John Swett High	John Swett Unified	Contra Costa	484	64	42	26	12	11	6
07617210000000	D		Liberty Union High	Contra Costa	7916	1215	337	558	586	374	140
07617210107797	S	Heritage High	Liberty Union High	Contra Costa	2426	532	137	179	261	218	82
07617210730457	S	Freedom High	Liberty Union High	Contra Costa	2560	250	84	155	106	48	28
07617210730572	S	Independence High	Liberty Union High	Contra Costa	385	0	NA	NA	NA	NA	NA
07617210733980	S	Liberty High	Liberty Union High	Contra Costa	2356	433	116	224	219	108	30
07617390000000	D		Martinez Unified	Contra Costa	1351	228	49	113	144	80	38
07617390730473	S	Briones (Alternative)	Martinez Unified	Contra Costa	41	0	NA	NA	NA	NA	NA
07617390730549	S	Alhambra Senior High	Martinez Unified	Contra Costa	1195	228	49	113	144	80	38
07617540000000	D		Mt. Diablo Unified	Contra Costa	8331	1063	347	354	423	349	253
07617540730044	S	Northgate High	Mt. Diablo Unified	Contra Costa	1643	303	17	69	143	154	130
07617540730317	S	Horizons Alternative	Mt. Diablo Unified	Contra Costa	149	0	NA	NA	NA	NA	NA
07617540731646	S	College Park High	Mt. Diablo Unified	Contra Costa	1949	301	49	73	127	111	97
07617540731836	S	Concord High	Mt. Diablo Unified	Contra Costa	1459	169	94	81	71	40	10
07617540734566	S	Mt. Diablo High	Mt. Diablo Unified	Contra Costa	1309	102	71	41	34	21	8
07617540737809	S	Ygnacio Valley High	Mt. Diablo Unified	Contra Costa	1156	188	116	90	48	23	8
07617880000000	D		Pittsburg Unified	Contra Costa	3200	250	106	148	110	58	24
07617880735407	S	Pittsburg Senior High	Pittsburg Unified	Contra Costa	2904	250	106	148	110	58	24
07617960000000	D		West Contra Costa Unified	Contra Costa	8492	1278	744	637	413	207	127
07617960101477	S	Leadership Public Schools: Richmond	West Contra Costa Unified	Contra Costa	475	126	32	65	49	34	34
07617960730291	S	Middle College High	West Contra Costa Unified	Contra Costa	275	1	*	*	*	*	*
07617960730325	S	Vista High (Alternative)	West Contra Costa Unified	Contra Costa	295	0	NA	NA	NA	NA	NA
07617960730598	S	Hercules High	West Contra Costa Unified	Contra Costa	1015	235	97	122	86	47	10
07617960732164	S	De Anza Senior High	West Contra Costa Unified	Contra Costa	1124	133	87	103	41	22	8
07617960732941	S	El Cerrito Senior High	West Contra Costa Unified	Contra Costa	1341	309	137	150	116	69	47
07617960733253	S	Gompers (Samuel) Continuation	West Contra Costa Unified	Contra Costa	153	2	*	*	*	*	*
07617960733659	S	Kennedy High	West Contra Costa Unified	Contra Costa	826	161	175	50	20	6	2
07617960735316	S	Pinole Valley High	West Contra Costa Unified	Contra Costa	1258	182	109	116	63	19	14
07617960735902	S	Richmond High	West Contra Costa Unified	Contra Costa	1491	129	106	30	35	10	11
07618040000000	D		San Ramon Valley Unified	Contra Costa	9631	2548	135	456	1116	1608	1727
07618040113118	S	Dougherty Valley High	San Ramon Valley Unified	Contra Costa	2381	911	32	131	365	518	821
07618040730051	S	California High	San Ramon Valley Unified	Contra Costa	2605	581	39	103	270	405	368
07618040730218	S	Venture (Alternative)	San Ramon Valley Unified	Contra Costa	213	0	NA	NA	NA	NA	NA
07618040734368	S	Monte Vista High	San Ramon Valley Unified	Contra Costa	2210	458	16	84	209	317	296
07618040736504	S	San Ramon Valley High	San Ramon Valley Unified	Contra Costa	2165	598	48	138	272	368	242
07768100000000	D		SBE - Synergy	Contra Costa	26	0	NA	NA	NA	NA	NA
07768100125815	S	Synergy	SBE - Synergy	Contra Costa	26	0	NA	NA	NA	NA	NA
08000000000000	C			Del Norte	1307	73	20	39	25	8	11
08100820000000	D		Del Norte County Office of Edu	Del Norte	276	1	*	*	*	*	*
08100820109777	S	Klamath River Early College of the Redwo	Del Norte County Office of Edu	Del Norte	23	0	NA	NA	NA	NA	NA
08100820830059	S	Castle Rock	Del Norte County Office of Edu	Del Norte	205	1	*	*	*	*	*
08618200000000	D		Del Norte County Unified	Del Norte	1031	72	20	39	25	6	11
08618200833004	S	Del Norte High	Del Norte County Unified	Del Norte	936	72	20	39	25	6	11
09000000000000	C			El Dorado	9072	1469	174	626	936	799	550
09100900000000	D		El Dorado County Office of Edu	El Dorado	549	14	0	3	7	4	3
09100900930123	S	Charter Community School Home Study Acad	El Dorado County Office of Edu	El Dorado	328	14	0	3	7	4	3
09618530000000	D		El Dorado Union High	El Dorado	6847	1278	114	521	833	753	520
09618530930081	S	Oak Ridge High	El Dorado Union High	El Dorado	2345	523	31	215	363	334	295
09618530930164	S	Union Mine High	El Dorado Union High	El Dorado	1069	178	24	79	98	104	50
09618530930214	S	EDUHSD Virtual Academy at Shenandoah	El Dorado Union High	El Dorado	63	0	NA	NA	NA	NA	NA
09618530932756	S	El Dorado High	El Dorado Union High	El Dorado	1330	214	35	76	113	87	49
09618530936302	S	Ponderosa High	El Dorado Union High	El Dorado	1828	363	24	151	259	228	126
09619030000000	D		Lake Tahoe Unified	El Dorado	1170	145	45	90	78	41	26
09619030937805	S	South Tahoe High	Lake Tahoe Unified	El Dorado	1040	145	45	90	78	41	26
09737830000000	D		Black Oak Mine Unified	El Dorado	454	32	15	12	18	1	1
09737830121566	S	American River Charter	Black Oak Mine Unified	El Dorado	32	0	NA	NA	NA	NA	NA
09737830930073	S	Golden Sierra Junior Senior High	Black Oak Mine Unified	El Dorado	399	32	15	12	18	1	1
09765960000000	D		SBC - Pacific Technology	El Dorado	52	1	*	*	*	*	*
09765960119537	S	Pacific Technology School Santa Ana	SBC - Pacific Technology	El Dorado	52	1	*	*	*	*	*
10000000000000	C			Fresno	59133	8501	4512	3721	3405	2162	961
10101080000000	D		Fresno County Office of Educat	Fresno	1068	0	NA	NA	NA	NA	NA
10101080109991	S	Crescent View West Charter	Fresno County Office of Educat	Fresno	385	0	NA	NA	NA	NA	NA
10101080111682	S	Hume Lake Charter	Fresno County Office of Educat	Fresno	17	0	NA	NA	NA	NA	NA
10101080119628	S	Big Picture High School - Fresno	Fresno County Office of Educat	Fresno	67	0	NA	NA	NA	NA	NA
10621170000000	D		Clovis Unified	Fresno	12624	2282	527	1061	1392	1085	517
10621170113555	S	Clovis North High	Clovis Unified	Fresno	2231	699	185	350	435	328	151
10621170118018	S	Clovis Online Charter	Clovis Unified	Fresno	332	0	NA	NA	NA	NA	NA
10621171030196	S	Clovis West High	Clovis Unified	Fresno	2151	435	63	172	261	244	140
10621171030469	S	Enterprise Alternative	Clovis Unified	Fresno	85	0	NA	NA	NA	NA	NA
10621171030501	S	Buchanan High	Clovis Unified	Fresno	2592	498	62	236	339	315	130
10621171030683	S	Clovis East High	Clovis Unified	Fresno	2069	325	136	164	159	80	29
10621171031053	S	Clovis High	Clovis Unified	Fresno	2887	325	81	139	198	118	67
10621250000000	D		Coalinga-Huron Unified	Fresno	1238	78	16	41	21	20	5
10621251031376	S	Coalinga High	Coalinga-Huron Unified	Fresno	1159	78	16	41	21	20	5
10621580000000	D		Fowler Unified	Fresno	730	85	29	36	27	18	3
10621580120246	S	Fowler Academy Independent Study	Fowler Unified	Fresno	15	0	NA	NA	NA	NA	NA
10621581032150	S	Fowler High	Fowler Unified	Fresno	699	85	29	36	27	18	3
10621660000000	D		Fresno Unified	Fresno	21057	3634	2498	1381	1098	620	292
10621660108555	S	Design Science Early College High	Fresno Unified	Fresno	250	0	NA	NA	NA	NA	NA
10621660114355	S	Sierra Charter	Fresno Unified	Fresno	455	0	NA	NA	NA	NA	NA
10621660114553	S	University High	Fresno Unified	Fresno	495	219	69	158	184	124	75
10621660115196	S	Fresno Academy for Civic and Entrepreneu	Fresno Unified	Fresno	157	1	*	*	*	*	*
10621661030279	S	Bullard High	Fresno Unified	Fresno	2635	404	157	222	196	95	31
10621661030287	S	J. E. Young Academic Center	Fresno Unified	Fresno	1092	1	*	*	*	*	*
10621661030295	S	Erma Duncan Polytechnical High	Fresno Unified	Fresno	1053	207	169	38	24	17	7
10621661030584	S	Cambridge Continuation High	Fresno Unified	Fresno	434	3	*	*	*	*	*
10621661030642	S	School of Unlimited Learning	Fresno Unified	Fresno	174	0	NA	NA	NA	NA	NA
10621661030675	S	Sunnyside High	Fresno Unified	Fresno	3096	617	458	270	169	44	6
10621661030840	S	Carter G. Woodson Public Charter	Fresno Unified	Fresno	348	0	NA	NA	NA	NA	NA
10621661031897	S	Edison High	Fresno Unified	Fresno	2310	744	412	318	310	217	130
10621661032507	S	Fresno High	Fresno Unified	Fresno	2330	71	13	8	33	14	4
10621661032911	S	Herbert Hoover High	Fresno Unified	Fresno	1886	504	411	211	92	32	13
10621661034214	S	McLane High	Fresno Unified	Fresno	1921	425	433	63	33	29	8
10621661035831	S	Roosevelt High	Fresno Unified	Fresno	2143	438	373	92	57	47	18
10622570000000	D		Kingsburg Joint Union High	Fresno	1201	152	30	100	65	21	4
10622570124727	S	Kingsburg Independent Study High	Kingsburg Joint Union High	Fresno	45	0	NA	NA	NA	NA	NA
10622571033695	S	Kingsburg High	Kingsburg Joint Union High	Fresno	1112	152	30	100	65	21	4
10622650000000	D		Kings Canyon Joint Unified	Fresno	2983	473	347	214	131	66	21
10622650108092	S	Orange Cove High	Kings Canyon Joint Unified	Fresno	630	158	176	43	15	11	5
10622650116640	S	Dunlap Leadership Academy	Kings Canyon Joint Unified	Fresno	60	0	NA	NA	NA	NA	NA
10622650126292	S	Reedley Middle College High	Kings Canyon Joint Unified	Fresno	61	0	NA	NA	NA	NA	NA
10622651030378	S	Mountain View (Alternative)	Kings Canyon Joint Unified	Fresno	243	0	NA	NA	NA	NA	NA
10622651035310	S	Reedley High	Kings Canyon Joint Unified	Fresno	1903	315	171	171	116	55	16
10622810000000	D		Laton Joint Unified	Fresno	190	26	17	9	5	2	0
10622811033950	S	Laton High	Laton Joint Unified	Fresno	190	26	17	9	5	2	0
10623310000000	D		Orange Center	Fresno	23	0	NA	NA	NA	NA	NA
10623310124354	S	National University Academy - Orange Cen	Orange Center	Fresno	23	0	NA	NA	NA	NA	NA
10623640000000	D		Parlier Unified	Fresno	861	119	118	24	13	13	5
10623641034990	S	Parlier High	Parlier Unified	Fresno	778	119	118	24	13	13	5
10623800000000	D		Raisin City Elementary	Fresno	417	0	NA	NA	NA	NA	NA
10623800124982	S	Ambassador Phillip V. Sanchez Public Cha	Raisin City Elementary	Fresno	417	0	NA	NA	NA	NA	NA
10624140000000	D		Sanger Unified	Fresno	3129	355	141	227	209	88	46
10624141030451	S	Taft High	Sanger Unified	Fresno	129	0	NA	NA	NA	NA	NA
